Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
Review of International Political Economy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-05-02,2022-05-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Social Studies of Science (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-04-01,2022-04-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
European Journal of the History of Economic Thought (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-11-01,2022-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Zeitschrift für Wirtschafts- und Unternehmensethik (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-05-01,2022-05-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Expert Systems With Applications (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-04-01,2022-04-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
SASE WAG online event: Gender in the field of socio-economics – current and future perspectives,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hager, Theresa",,2023-05-24,2023-05-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,SASE WAG online event: Gender in the field of socio-economics – current and future perspectives
Journal of Artificial Societies and Social Simulation (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-07-01,2022-07-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Research Policy (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-01-01,2022-01-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Politics and Governance (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2022-06-01,2022-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Socio-Economic Review (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-01-01,2022-01-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Exzellent prekär. Diese Uni wollen wir nicht mehr!,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2023-04-22,2023-04-22,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Exzellent prekär. Diese Uni wollen wir nicht mehr!
Exzellent prekär. Diese Uni wollen wir nicht mehr!,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hager, Theresa",,2023-04-22,2023-04-22,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Exzellent prekär. Diese Uni wollen wir nicht mehr!
Research Evaluation (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Aistleitner, Matthias",,2023-05-01,2023-05-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
History and Content of Heterodox Economics,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,,"Ramazotti, Paolo",2018-09-06,2018-09-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,History and Content of Heterodox Economics
History and Content of Heterodox Economics,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,,"Elsner, Wolfram",2018-09-06,2018-09-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,History and Content of Heterodox Economics
History and Content of Heterodox Economics,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Gräbner-Radkowitsch, Claudius",,2018-09-06,2018-09-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,History and Content of Heterodox Economics
Summer School Course: Complexity Economics - Theory and Computational Methods,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,,"Heinrich, Torsten",2018-08-03,2018-08-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Summer School Course: Complexity Economics - Theory and Computational Methods
Summer School Course: Complexity Economics - Theory and Computational Methods,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Gräbner-Radkowitsch, Claudius",,2018-08-03,2018-08-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Summer School Course: Complexity Economics - Theory and Computational Methods
"Summer School Course: The Political Economy of Economic Complexity: Models, Data and Policy",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Gräbner-Radkowitsch, Claudius",,2019-09-11,2019-09-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Summer School Course: The Political Economy of Economic Complexity: Models, Data and Policy"
Summer School Course: Complexity Economics - Theory and Computational Methods,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,,"Heinrich, Torsten",2019-08-09,2019-08-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Summer School Course: Complexity Economics - Theory and Computational Methods
Summer School Course: Complexity Economics - Theory and Computational Methods,,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Gräbner-Radkowitsch, Claudius",,2019-08-09,2019-08-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Summer School Course: Complexity Economics - Theory and Computational Methods
"Trade runner 2049: Complexity, development, and the future of the economy",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,,"Heinrich, Torsten",2018-09-26,2018-09-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Trade runner 2049: Complexity, development, and the future of the economy"
"Trade runner 2049: Complexity, development, and the future of the economy",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Gräbner-Radkowitsch, Claudius",,2018-09-26,2018-09-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,"Trade runner 2049: Complexity, development, and the future of the economy"
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Springholz, Florian",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Schütz, Bernhard",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Kapeller, Jakob",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Huber, Jakob",2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hirte, Katrin",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Heimberger, Philipp",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Grimm, Christian",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Beyer, Karl",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Aistleitner, Matthias",,2016-06-03,2016-06-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert
Workshop „Freihandel“ – wer profitiert?,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2021-11-30,2021-11-30,,"Institut für Wirtschafts-, Sozial- und Umweltgeschichte (+2 weitere)",,Workshop „Freihandel“ – wer profitiert?
Workshop „Freihandel“ – wer profitiert?,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Kaps, Klemens",,2021-11-30,2021-11-30,,"Institut für Wirtschafts-, Sozial- und Umweltgeschichte (+2 weitere)",,Workshop „Freihandel“ – wer profitiert?
Workshop „Freihandel“ – wer profitiert?,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Fischer, Karin",,2021-11-30,2021-11-30,,"Institut für Wirtschafts-, Sozial- und Umweltgeschichte (+2 weitere)",,Workshop „Freihandel“ – wer profitiert?
Workshop „Freihandel“ – wer profitiert?,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Eder, Julia Theresa",,2021-11-30,2021-11-30,,"Institut für Wirtschafts-, Sozial- und Umweltgeschichte (+2 weitere)",,Workshop „Freihandel“ – wer profitiert?
ICAE Research Seminar,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2019-10-10,2024-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
ICAE Research Seminar,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Kapeller, Jakob",,2019-10-10,2024-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
ICAE Research Seminar,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hornykewycz, Anna",,2019-10-10,2024-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
ICAE Research Seminar,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Gräbner-Radkowitsch, Claudius",,2019-10-10,2024-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,ICAE Research Seminar
Workshop: Diskursanalyse in den Sozial- und Wirtschaftswissenschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2021-10-20,2021-10-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop: Diskursanalyse in den Sozial- und Wirtschaftswissenschaften
Workshop: Diskursanalyse in den Sozial- und Wirtschaftswissenschaften,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Porak, Laura",,2021-10-20,2021-10-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop: Diskursanalyse in den Sozial- und Wirtschaftswissenschaften
Economic and Regional Studies (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2020-11-01,2020-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Workshop Economics of knowledge creation and utilization in regions,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Stamboulis, Yeoryios",2021-10-01,2021-10-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop Economics of knowledge creation and utilization in regions
Workshop Economics of knowledge creation and utilization in regions,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Pyka, Andreas",2021-10-01,2021-10-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop Economics of knowledge creation and utilization in regions
Workshop Economics of knowledge creation and utilization in regions,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Kudic, Muhamed",2021-10-01,2021-10-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop Economics of knowledge creation and utilization in regions
Workshop Economics of knowledge creation and utilization in regions,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Gräbner-Radkowitsch, Claudius",,2021-10-01,2021-10-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Workshop Economics of knowledge creation and utilization in regions
European Journal of the History of Economic Thought (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2020-05-01,2020-05-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Wettbewerb infrage - Podcast-Reihe,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Rath, Johanna",,2019-05-01,2023-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Wettbewerb infrage - Podcast-Reihe
Wettbewerb infrage - Podcast-Reihe,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Azevedo, Susanna",2019-05-01,2023-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Wettbewerb infrage - Podcast-Reihe
Wettbewerb infrage - Podcast-Reihe,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Puchner, Lisa",2019-05-01,2023-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Wettbewerb infrage - Podcast-Reihe
Cambridge Journal of Economics (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2019-08-01,2019-08-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
International Journal of Pluralism and Economics Education (IJPEE) (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2019-09-01,2019-09-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Journal of Economics and Management (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2020-10-01,2020-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Socio-Economic Review (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2019-04-01,2019-04-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Review of Politics and Public Policy in Emerging Economies (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2019-05-01,2019-05-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
Journal of Economic Behavior and Organization (Fachzeitschrift oder Schriftenreihe),,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2019-01-01,2019-01-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,
