Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Postdemokratie in Österreich?,"Plaimer, Wolfgang",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Plaimer, W. (2012). Postdemokratie in Österreich? In Nordmann, Jürgen; Hirte, Katrin; Ötsch, Walter O. (Hrsg.), Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt (S. 159-174). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Staatsschuldenkrise und ökonomisches Denken – im Euroraum und in Zentraleuropa,"Ötsch, Walter",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2012). Staatsschuldenkrise und ökonomisches Denken – im Euroraum und in Zentraleuropa. In Horvath, Patrick, Skarke, Herbert  und Weinzierl, Rupert (Hrsg.), Die “Vision Zentraleuropa” im 21. Jahrhundert. Festschrift zum 90. Geburtstag von Heinz Kienzl (S. 68-71). Arbeitsgemeinschaft für wissenschaftliche Wirtschaftspolitik (WIWIPOL). ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Umstrukturierung der LPGen in Thüringen ab 1990,"Hirte, Katrin",2012,nicht begutachtet,Andere Beiträge,,,,"Hirte, K. (2012). Die Umstrukturierung der LPGen in Thüringen ab 1990. Druckerei Sömmerda GmbH.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Soziale Frage im Wandel. Probleme und Perspektiven des Sozialstaates und der Arbeitsgesellschaft,"Pühringer, Stephan",2012,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Pühringer, S. (2012). Soziale Frage im Wandel. Probleme und Perspektiven des Sozialstaates und der Arbeitsgesellschaft. Kontraste - Presse- und Informationsdienst für Sozialpolitik, (2/2012), 22-23.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Öffentlicher Vernunftgebrauch - ein probantes Mittel zur Bekämpfung von Ungerechtigkeit?,"Pühringer, Stephan",2012,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Pühringer, S. (2012). Öffentlicher Vernunftgebrauch - ein probantes Mittel zur Bekämpfung von Ungerechtigkeit? Studentisches Soziologiemagazin.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Vorwort im Sammelband ""Wissen! Welches Wissen?""","Ötsch, Walter (+1 weitere)",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K., & Ötsch, W. (2014). Vorwort im Sammelband ""Wissen! Welches Wissen?"". In Hirte Katrin, Thieme Sebastian, Ötsch Walter Otto (Hrsg.), Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien (S. 7-16). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der freie Markt,"Ötsch, Walter",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2012). Der freie Markt. In Czejkowska, Agnieszka (Hrsg.), Imagine Economy. Neoliberale Metaphern im wirtschaftlichen Diskurs (S. 39-45). Erhard Löcker Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Krise des Euroraums,"Ötsch, Walter",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2012). Krise des Euroraums. In Starke, Herbert; Horvath, Patrick; Weinzierl, Rupert (Hrsg.), Die Vision Zentraleuropa im 21. Jahrhundert (S. 68-71). Arbeitsgemeinschaft für wissenschaftliche Wirtschaftspolitik. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die intellektuelle Geschichte des Neoliberalismus im Spiegel des alten Liberalismus,"Nordmann, Jürgen",2012,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Nordmann, J. (2012). Die intellektuelle Geschichte des Neoliberalismus im Spiegel des alten Liberalismus. ksoe-Dossier der katholischen Erwachsenenbildung Österreich.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Grenzen aktueller Krisendebatten. Über Konstruktionen der öffentlichen Meinung und das Verhältnis von Sach- und Grundsatzdiskussionen in (neo)liberalen Demokratien,"Nordmann, Jürgen",2013,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Nordmann, J. (2013). Grenzen aktueller Krisendebatten. Über Konstruktionen der öffentlichen Meinung und das Verhältnis von Sach- und Grundsatzdiskussionen in (neo)liberalen Demokratien. In Wengeler Martin; Ziem, Alexander (Hrsg.), Sprachliche Konstruktionen von Krisen : interdisziplinäre Perspektiven auf ein fortwährend aktuelles Phänomen (S. 53-66). Hempen. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt,"Nordmann, Jürgen (+2 weitere)",2012,nicht begutachtet,Buch,,,,"Nordmann, J., Hirte, K., & Ötsch, W. (Hrsg.) (2012). Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Politische Ökonomie und Gesellschaft. Eine theoriegeschichtliche Skizze,"Ötsch, Walter",2012,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ötsch, W. (2012). Politische Ökonomie und Gesellschaft. Eine theoriegeschichtliche Skizze. In Grözinger, Gerd; Reich, Utz-Peter (Hrsg.), Entfremdung – Ausbeutung – Revolte (S. 145-165). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Marktradikalität. Der Diskurs von ""dem Markt""","Ötsch, Walter",2012,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,7,ICAE Working Paper Series,"Ötsch, W. (2012). Marktradikalität. Der Diskurs von ""dem Markt"". (ICAE Working Paper Series; Nr. 7).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Aktivierung und Mindestsicherung. Rezension zum gleichnamigen Buch von Christine Stelzer-Orthofer und Josef Weidenholzer,"Pühringer, Stephan",2011,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Pühringer, S. (2011). Aktivierung und Mindestsicherung. Rezension zum gleichnamigen Buch von Christine Stelzer-Orthofer und Josef Weidenholzer. WISO - Wirtschafts- und sozialpolitische Zeitschrift, 34(02), 169-171.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Frei handeln? Liberales und neoliberales Freiheitskonzept und ihre Auswirkungen auf die Verteilung von Macht und Eigentum,"Pühringer, Stephan",2011,nicht begutachtet,Buch,,,,"Pühringer, S. (2011). Frei handeln? Liberales und neoliberales Freiheitskonzept und ihre Auswirkungen auf die Verteilung von Macht und Eigentum. Peter Lang.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Crowdsourcing und Regelbezüge - der Fall GuttenPlag.,"Hirte, Katrin",2011,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,Lecture Notes in Informatics (LNI),"Hirte, K. (2011). Crowdsourcing und Regelbezüge - der Fall GuttenPlag. In Heiss, Hans-Ulrich (Hrsg.), INFORMATIK 2011 - Informatik schafft Communities. 41. Jahrestagung der Gesellschaft für Informatik , 4.-7.10.2011, Berlin (Band P-192). (Lecture Notes in Informatics (LNI)). Springer. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Würdigungs-Netzwerke, gewolltes Nichtwissen und Geschichtsschreibung.","Hirte, Katrin",2012,begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K. (2012). Würdigungs-Netzwerke, gewolltes Nichtwissen und Geschichtsschreibung. Österreichische Zeitschrift für Geschichtswissenschaften, 23(1), 155-185.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ökonomische Ausrichtung und Netzwerke - das Beispiel des Sachverständigenrates.,"Ötsch, Walter (+1 weitere)",2011,begutachtet,Beitrag in Fachzeitschrift,,,,"Hirte, K., & Ötsch, W. (2011). Ökonomische Ausrichtung und Netzwerke - das Beispiel des Sachverständigenrates. Prokla, (3), 423-447.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Kurt Rothschild als politischer Ökonom,"Ötsch, Walter",2011,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,Schriftenreihe des Instituts für Kommunalwissenschaft (IKW),"Ötsch, W. (2011). Kurt Rothschild als politischer Ökonom. In Bartel, Rainer; Bürger, Hans; Klug, Friedrich (Hrsg.), In Memoriam Univ. Prof. Kurt W. Rothschild (S. 73-84). (Schriftenreihe des Instituts für Kommunalwissenschaft (IKW)). Institut für Kommunalwirtschaften. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Protektionismus. Die Grenzen der Staatsintervention in den 1930er Jahren,"Nordmann, Jürgen",2010,begutachtet,Beitrag in Fachzeitschrift,,,,"Nordmann, J. (2010). Protektionismus. Die Grenzen der Staatsintervention in den 1930er Jahren. European Journal of Economics and Economic Policies: Intervention, 7(1), 42-50. https://doi.org/10.4337/ejeep.2010.01.05",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Was ist eine Krise?,"Nordmann, Jürgen",2010,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Nordmann, J. (Hrsg.) (2010). Was ist eine Krise? In Ötsch, Walter O.; Hirte, Katrin; Nordmann, Jürgen (Hrsg.), Krise! Welche Krise? Zur Problematik aktueller Krisendebatten (S. 7-20). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Aktionsforschung - ein Weg zum Design institutioneller Neuerungen zur regionalen Anpassung an den Klimawandel,"Hirte, Katrin",2011,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Knierim, A., & Hirte, K. (2011). Aktionsforschung - ein Weg zum Design institutioneller Neuerungen zur regionalen Anpassung an den Klimawandel. In Anpassung an den Klimawandel - regional umsetzen! (S. 156-174). oecom Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Krise! Welche Krise? Zur Problematik aktueller Krisendebatten,"Nordmann, Jürgen (+2 weitere)",2010,nicht begutachtet,Buch,,,,"Ötsch, W., Hirte, K., & Nordmann, J. (Hrsg.) (2010). Krise! Welche Krise? Zur Problematik aktueller Krisendebatten. Metropolis.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Braucht die aktuelle Gesellschaft einen Gesellschaftsvertrag? Der politische Neoliberalismus im Spiegel von John Locke und John Rawls,"Nordmann, Jürgen",2011,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Nordmann, J. (2011). Braucht die aktuelle Gesellschaft einen Gesellschaftsvertrag? Der politische Neoliberalismus im Spiegel von John Locke und John Rawls. In Gesellschaft! Welche Gesellschaft? (S. 33-60). Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Gesellschaft! Welche Gesellschaft? Nachdenken über eine sich wandelnde Gesellschaft,"Nordmann, Jürgen (+2 weitere)",2011,nicht begutachtet,Buch,,,,"Ötsch, W., Hirte, K., & Nordmann, J. (Hrsg.) (2011). Gesellschaft! Welche Gesellschaft? Nachdenken über eine sich wandelnde Gesellschaft. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Markt. Sichtweisen auf die Wirtschaft,"Ötsch, Walter",2011,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Ötsch, W. (2011). Markt. Sichtweisen auf die Wirtschaft. Praxis Politik, (2/2011), 4-8.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economics and Power,"Pühringer, Stephan",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Benz, P., Maesse, J., Pühringer, S., & Rossier, T. (2023). Economics and Power. In Macknight, Viski; Medvecky, Fabien (Hrsg.), Making Economics Public (S. 18-25). Routledge. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
L´expertise parziale dell´economics: il caso della ricerca (delle politiche) sul commercio,"Aistleitner, Matthias (+1 weitere)",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Aistleitner, M., & Pühringer, S. (2023). L´expertise parziale dell´economics: il caso della ricerca (delle politiche) sul commercio. In Nicoletta, Gerardo C.; di Carlo, Michele S.; Ventrone, Oreste (Hrsg.), Economisti e Società. Nuove sociologie dell'expertise economica (S. 25-40). Liguori Editore. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Dekarbonisierung des Gebäudesektors als Teil einer sozial-ökologischen Transformation. Ein Gestaltungsvorschlag,"Hornykewycz, Anna (+2 weitere)",2024,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., Hornykewycz, A., Weber, J., & Cserjan, L. (2024). Dekarbonisierung des Gebäudesektors als Teil einer sozial-ökologischen Transformation. Ein Gestaltungsvorschlag. ifso expertise, 25, 1-23. https://www.uni-due.de/imperia/md/images/soziooekonomie/ifsoexp25_khwc2024_dekarbonisierung_gebaeudesektor_v2.1.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wie viel Wettbewerb wollen wir (uns leisten)? Zur Verwettbewerblichung der Universitäten in Österreich und darüber hinaus,"Pühringer, Stephan",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,149,ICAE Working Paper Series,"Pühringer, S. (2023). Wie viel Wettbewerb wollen wir (uns leisten)? Zur Verwettbewerblichung der Universitäten in Österreich und darüber hinaus. (ICAE Working Paper Series; Nr. 149).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Gendered Competitive Practices in Economics. A Multi-Layer Model of Women’s Underrepresentation,"Hager, Theresa (+1 weitere)",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,148,ICAE Working Paper Series,"Hager, T., & Pühringer, S. (2023). Gendered Competitive Practices in Economics. A Multi-Layer Model of Women’s Underrepresentation. (ICAE Working Paper Series; Nr. 148).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Islands in the Privately Dominated Sea of Capitalist Media,"Porak, Laura",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L., & Schamberger, K. (2023). Islands in the Privately Dominated Sea of Capitalist Media. In Güney, Selma; Hille, Lina; Pfeiffer, Juliane; Porak, Laura; Theine, Hendrik (Hrsg.), Eigentum, Medien, Öffentlichkeit (S. 443-449). Westend Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Wettbewerbsfähige Nachhaltigkeit: eine Historisch-Materialistische Analyse der Ideen, Institutionen und Machtverhältnisse in der europäischen grünen Transformation","Porak, Laura",2023,begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L. (2023). Wettbewerbsfähige Nachhaltigkeit: eine Historisch-Materialistische Analyse der Ideen, Institutionen und Machtverhältnisse in der europäischen grünen Transformation. Momentum Quarterly, 12(1), 65-83. https://doi.org/10.15203/momentumquarterly.vol12.no1.p65-83",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Political sovereignty in tension with global capitalist accumulation: the case of the European socio-economic strategy,"Porak, Laura",2023,begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L. (2023). Political sovereignty in tension with global capitalist accumulation: the case of the European socio-economic strategy. Critical Policy Studies, 18(3), 490-513. https://doi.org/10.1080/19460171.2023.2274542",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Dilemmata marktliberaler Globalisierung – Globale Freiheit durch globalen Wettbewerb?,"Hubmann, Georg (+1 weitere)",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,151,ICAE Working Paper Series,"Kapeller, J., & Hubmann, G. (2023). Dilemmata marktliberaler Globalisierung – Globale Freiheit durch globalen Wettbewerb? (ICAE Working Paper Series; Nr. 151).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Organizers and promotors of academic competition? The role of (academic) social networks and platforms in the competitization of science,"Pühringer, Stephan",2023,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,152,ICAE Working Paper Series,"Pühringer, S., & Wolfmayer, G. (2023). Organizers and promotors of academic competition? The role of (academic) social networks and platforms in the competitization of science. (ICAE Working Paper Series; Nr. 152).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Il potere e l'economics,"Pühringer, Stephan",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Benz, P., Maesse, J., Pühringer, S., & Rossier, T. (2023). Il potere e l'economics. In Nicoletta, Gerardo C.; di Carlo, Michele S.; Ventrone, Oreste (Hrsg.), Economisti e Società. Nuove sociologie dell'expertise economica (S. 17-24). Liguori Editore. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das dritte Gossensche Gesetz. Zur Überlieferungspraxis in der ökonomischen Dogmengeschichte,"Hirte, Katrin",2019,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,93,ICAE Working Paper Series,"Hirte, K. (2019). Das dritte Gossensche Gesetz. Zur Überlieferungspraxis in der ökonomischen Dogmengeschichte. (ICAE Working Paper Series; Nr. 93).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exploring the trade (policy) narratives in economic elite discourse,"Aistleitner, Matthias (+1 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,1,SPACE Working Paper Series,"Aistleitner, M., & Pühringer, S. (2021). Exploring the trade (policy) narratives in economic elite discourse. (S. 1-16). (SPACE Working Paper Series; Nr. 1).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Lobbying and Macroeconomic Development,"Hager, Theresa",2024,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,Studies in Public Choice,"Hager, T. (2024). Lobbying and Macroeconomic Development. In Mause, Karsten; Polk, Andreas (Hrsg.), The Political Economy of Lobbying (Band 43, S. 77-99). (Studies in Public Choice). Springer. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Friedman’s Instrumentalismus und das Problem von Kopernikus,"Hirte, Katrin",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,114,ICAE Working Paper Series,"Hirte, K. (2020). Friedman’s Instrumentalismus und das Problem von Kopernikus. (S. 1-25). (ICAE Working Paper Series; Nr. 114).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Das doppelte Relexionsproblem in der Ökonomik,"Hirte, Katrin",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,115,ICAE Working Paper Series,"Hirte, K. (2020). Das doppelte Relexionsproblem in der Ökonomik. (S. 1-19). (ICAE Working Paper Series; Nr. 115).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
