Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Vom mittelalterlichen Dienst an Gott zum neoklassischen Produktionsfaktor. Ein Überblick über die Kulturgeschichte von Arbeit und Zeit,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-05-07,2014-05-07
Die unsichtbare Hand des Marktes: Wahrheit oder Glaubenslehre,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-05-06,2014-05-06
"Mechanismen der Finanzmärkte, Globalisierung und Wirtschaftskrise",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-04-17,2014-04-17
Der Papst als Kritiker des Wirtschaftssystems,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2014-03-29,2014-03-29
"Pressekonferenz zur Studie: ""Netzwerke der Superreichen in Österreich""",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-11-26,2024-11-26
Promoters of academic competition? The role of academic social networks and platforms in the competitization of science,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-04-04,2024-04-04
Mobility Transition in Austria’s Railway Sector:Economic Preconditions and Impact,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Cserjan, Lukas",,2024-10-24,2024-10-24
Creating a Pluralist Paradigm: An Application to the Minimum Wage Debate,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2019-09-14,2019-09-14
The climate crisis portrayal in Austrian media: A Cross-Paradigm approach combining structural topic modelling and critical discourse analysis,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2024-10-15,2024-10-15
Make big tech pay their fair share? A comparative analysis of news-based policies and the underlying economic imaginaries that support them,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Theine, Hendrik","Forde, Sydney",2024-10-03,2024-10-03
Diskursive und politische Wirkmächtigkeit ökonomischen Denkens,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-01-17,2017-01-17
"Studienpräsentation ""Verankerung wohlstandsorientierter Politik""",Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Griesser, Markus","Brand, Ulrich",2016-12-12,2016-12-12
"Workshop ""Armut und soziale Ausgrenzung""",Anderer Vortrag oder Präsentation,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Griesser, Markus",,2016-11-05,2016-11-05
"Uneven waves of commodification, decommodification, and recommodification. Karl Polanyi and the Analysis of Welfare State Transformation",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Griesser, Markus",,2017-01-13,2017-01-13
Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2016-09-05,2016-09-05
Kann man soziale Verantwortung lehren?,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2016-07-28,2016-07-28
Euphemismen in der Ökonomik: Das Beispiel „Arbeitgeber“ – Herkunft und Etablierung eines Begriffs,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-04-07,2022-04-07
"Populismus, Demagogie und die „Wut von unten“",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2016-12-21,2016-12-21
Die vielen Facetten des Reichtums in Österreich,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2017-11-23,2017-11-23
Reichtum in Österreich,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-10-30,2017-10-30
Aus der moralischen Entrüstung gehen,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2017-10-16,2017-10-16
Das ABC der Finanzwelt - G wie Great Depression B,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2018-12-12,2018-12-12
Silvio Gesell und die Freiwirtschaftslehre,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Beyer, Karl",,2018-07-18,2018-07-18
Ab wann ist jemand reich?,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2017-11-23,2017-11-23
"Interview zu pluraler Ökonomik, Teil I",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-07-28,2019-07-28
"Interview zu pluraler Ökonomik, Teil II",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-08-11,2019-08-11
Wie funktioniert Wettbewerb?,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-07-12,2019-07-12
Vermögen wächst auch mit Vermögenssteuer weiter,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-10-23,2019-10-23
10 Fragen an Philipp Heimberger oder: Auf den Spuren der NAIRU,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2018-12-20,2018-12-20
"Moderation zu: „’Rebooting’ is not an option: Toward equitable social and economic development” von Stephanie Seguino (University of Vermont/USA), (via skype), Wissensturm Linz.",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2012-02-29,2012-02-29
Finanzmärkte und Postdemokratie,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2012-08-27,2012-08-27
Theoriegeschichte als (kritische) Kulturgeschichte,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Ötsch, Walter",,2012-09-10,2012-09-10
"Der Wert, zitiert zu werden",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-05-04,2021-05-04
EU taxation capabilities and the way forward towards institutional progress in Europe,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-07-05,2021-07-05
"Sozialer Schein, aber wirtschaftsliberale Positionen",Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-12-02,2021-12-02
Geschichte des Neoliberalismus,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2021-12-28,2021-12-28
Kosten und Nutzen des „billigen“ Geldes,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-03-09,2021-03-09
Wie wird über Wettbewerb gesprochen?,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2021-03-02,2021-03-02
Wettbewerb in und rund um die Europäische Union,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura (+2 weitere)",,2021-07-06,2021-07-06
Der Soziologe Robert K. Merton: Alles misslingt nach Plan,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2021-11-19,2021-11-19
Wo lassen denken? Die unsichtbare Macht von Think Tanks,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2020-02-20,2020-02-20
Solidarität – Wandel eines starken Begriffs,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2020-01-08,2020-01-08
Ökonomie: Enge Verflechtung verzerrt den Wettbewerb der Ideen,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2022-10-14,2022-10-14
"Government Policies and Financial Crises: Mitigation, Postponement or Prevention?",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2018-01-05,2018-01-05
Menschen- und Umweltrechte in globalen Beschaffungsketten,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2019-01-18,2019-01-18
The political economy of academic publishing: On the commodification of a public good,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2022-10-07,2022-10-07
EU Policy-making and the construction of economic indicators: the case of Competitiveness in the European Semester,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2022-09-08,2022-09-08
Shaping Employment Relationships in the Age of Digitalisation: Analysing Policy Measures in an Agent-Based Framework,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2022-07-11,2022-07-11
Eliten und Demokratie — zur Etablierung der funktionalistischen Elite- und Demokratieauffassung nach 1945 und die Rolle von C. J. Friedrich,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2023-05-02,2023-05-02
Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2017-12-20,2017-12-20
In cars we trust. Automobile manufacturing as part of an integrative European industrial policy.,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2017-10-13,2017-10-13
Citation metrics and the development of economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-09-15,2017-09-15
"Agenten, Auktionen, Ausschreibungen: Von Nobelpreisen und Vergabeverfahren",Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-09-13,2017-09-13
Citation metrics and the development of economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-10-24,2017-10-24
The Political Economy of Bank Regulatory Evasion,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-09-06,2017-09-06
Globalization and Free Trade,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-08-29,2017-08-29
Wissenschaftstheorie und Ökonomie,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-12-20,2017-12-20
Strukturelle Polarisierung: Warum Europa trotz Aufschwungs ökonomisch auseinanderdriftet,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2018-10-22,2018-10-22
Do labor market rigidities increase unemployment? Evidence for 23 OECD countries over 1985-2013,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2018-10-10,2018-10-10
Konsequenzen der Wettbewerbsorientierung von und an Universitäten: Eine Perspektive der interdisziplinären Wettbewerbsforschung,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-01-28,2022-01-28
Plurale ökonomische Ideengeschichte,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2021-04-29,2021-04-29
Competing for sustainability? An institutionalist analysis of the new development model of the European Union,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2023-09-14,2023-09-14
Heating up Houses instead of the Climate A transparent and realistic pathway for transforming the German housing sector,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2023-10-06,2023-10-06
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2023-04-17,2023-04-17
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2023-06-20,2023-06-20
Competing for Sustainability? An institutionalist analysis of the new development model of the EU,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2023-06-27,2023-06-27
Der Einfluss der Wissenschaftsstatistik auf den ökonomischen Diskurs,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2015-12-05,2015-12-05
"Die Dominanz des ökonomischen Mainstreams aus szientometrischer Perspektive: Befunde zum ""Matthäus-Effekt"" in den Wirtschaftswissenschaften",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2015-10-02,2015-10-02
Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2015-10-23,2015-10-23
Talking about Competition: Discursive shifts in the economic imaginary of competition,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna (+1 weitere)",,2020-07-16,2020-07-16
The Role of Public Procurement for Driving Corporate Social Innovation in Global IT Supply Chains,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Strohmaier, Rita",,2020-11-12,2020-11-12
Theorizing Competition: An interdisciplinary approach to the genesis of a contested concept,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2020-10-22,2020-10-22
Die strategische Ausrichtung der Europäischen Union,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2020-07-09,2020-07-09
Global Child Chain - Indische Leihmutterschaft im Kontext globaler Güterkettenforschung,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Griesebner, Teresa",,2020-11-19,2020-11-19
"Minsky-Veblen Cycles: A stock-flow consistent, agent-based approach",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2020-11-05,2020-11-05
"Evolutionary political economic policies in a multisector, multi-regional agent-based model of a global value chain, resource extraction and climate change",Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen",,"Gerdes, Lena",2020-12-10,2020-12-10
